dt,type,fenqi_cycle,fenqi,amount_rate
2017-11-01,5,1,1,0.242735554878
2017-11-01,5,2,1,0.426978928692
2017-11-01,5,2,3,0.106115206047
2017-11-01,5,2,6,0.224170310383
2017-11-01,6,1,1,4.452481302e-05
2017-11-01,6,2,2,0.0846363051907
2017-11-01,6,2,3,0.0893894828252
2017-11-01,6,2,6,0.170694507768
2017-11-01,6,2,9,0.244665805568
2017-11-01,6,2,12,0.410569373836
2017-12-01,5,1,1,0.256446759122
2017-12-01,5,2,1,0.424385039945
2017-12-01,5,2,3,0.103994528047
2017-12-01,5,2,6,0.215173672886
2017-12-01,6,1,1,4.55844471859e-05
2017-12-01,6,2,2,0.0848978600389
2017-12-01,6,2,3,0.0896275139488
2017-12-01,6,2,6,0.170852505493
2017-12-01,6,2,9,0.244980112916
2017-12-01,6,2,12,0.409596423156
2018-01-01,5,1,1,0.277973763754
2018-01-01,5,1,3,0.138986881877
2018-01-01,5,2,1,0.328009386532
2018-01-01,5,2,3,0.0744741885607
2018-01-01,5,2,6,0.180255510784
2018-01-01,5,2,9,0.000182153443485
2018-01-01,5,2,12,0.00011811504836
2018-01-01,6,2,2,0.077252995644
2018-01-01,6,2,3,0.0848008882452
2018-01-01,6,2,6,0.171794909961
2018-01-01,6,2,9,0.275708675063
2018-01-01,6,2,12,0.390442531087
2018-02-01,5,1,1,0.277973678251
2018-02-01,5,1,3,0.138986642698
2018-02-01,5,2,1,0.328009529617
2018-02-01,5,2,3,0.0744741209531
2018-02-01,5,2,6,0.180255760337
2018-02-01,5,2,9,0.00018215324522
2018-02-01,5,2,12,0.000118114898269
2018-02-01,6,2,2,0.0781333899152
2018-02-01,6,2,3,0.085589721319
2018-02-01,6,2,6,0.172559616389
2018-02-01,6,2,9,0.2738820846
2018-02-01,6,2,12,0.389835187777
2018-03-01,5,1,1,0.277973621309
2018-03-01,5,1,3,0.138986810655
2018-03-01,5,2,1,0.328009131994
2018-03-01,5,2,3,0.074474199255
2018-03-01,5,2,6,0.180255968717
2018-03-01,5,2,9,0.000182153116141
2018-03-01,5,2,12,0.000118114953378
2018-03-01,6,2,2,0.0792958743367
2018-03-01,6,2,3,0.0862153662039
2018-03-01,6,2,6,0.171306825327
2018-03-01,6,2,9,0.275592402898
2018-03-01,6,2,12,0.387589531235
2018-04-01,5,1,1,0.277538782095
2018-04-01,5,1,3,0.13876997928
2018-04-01,5,2,1,0.327496209928
2018-04-01,5,2,3,0.0669219416249
2018-04-01,5,2,6,0.188973288388
2018-04-01,5,2,9,0.000181868613682
2018-04-01,5,2,12,0.00011793007073
2018-04-01,6,2,2,0.0787384172055
2018-04-01,6,2,3,0.0857475296769
2018-04-01,6,2,6,0.170994227422
2018-04-01,6,2,9,0.276437598014
2018-04-01,6,2,12,0.388082227682
2018-05-01,5,1,1,0.277539579464
2018-05-01,5,1,3,0.138769789732
2018-05-01,5,2,1,0.32749636952
2018-05-01,5,2,3,0.0669219722336
2018-05-01,5,2,6,0.188972490055
2018-05-01,5,2,9,0.000181868548321
2018-05-01,5,2,12,0.000117930446489
2018-05-01,6,2,2,0.0788940276143
2018-05-01,6,2,3,0.085860733285
2018-05-01,6,2,6,0.170987178662
2018-05-01,6,2,9,0.276373778666
2018-05-01,6,2,12,0.387884281772
2018-06-01,5,1,1,0.277539668125
2018-06-01,5,1,3,0.138769296347
2018-06-01,5,2,1,0.327496657827
2018-06-01,5,2,3,0.066922019049
2018-06-01,5,2,6,0.188972559716
2018-06-01,5,2,9,0.00018186826346
2018-06-01,5,2,12,0.000117930672588
2018-06-01,6,2,2,0.0800785649779
2018-06-01,6,2,3,0.0867350681805
2018-06-01,6,2,6,0.170998510004
2018-06-01,6,2,9,0.275770034889
2018-06-01,6,2,12,0.386417821948
2018-07-01,5,1,1,0.27753925615
2018-07-01,5,1,3,0.138769628075
2018-07-01,5,2,1,0.327496803324
2018-07-01,5,2,3,0.0669219943957
2018-07-01,5,2,6,0.188972519133
2018-07-01,5,2,9,0.000181868370474
2018-07-01,5,2,12,0.000117930551475
2018-07-01,6,2,2,0.0785748906997
