type,fenqi_cycle,fenqi,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
5,2,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,2,3,0.323792,0.33324,0.342968,,,,,,,,,,,,,,,,,,,,,
5,2,6,0.15502,0.159501,0.164112,0.168858,0.173743,0.178767,,,,,,,,,,,,,,,,,,
5,2,9,0.098434,0.101387,0.104428,0.107561,0.110788,0.114112,0.117534,0.121061,0.124695,,,,,,,,,,,,,,,
5,2,12,0.074561,0.076051,0.077572,0.079125,0.080707,0.082323,0.083968,0.085649,0.087361,0.089109,0.090889,0.092684,,,,,,,,,,,,
6,2,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,2,2,0.49267,0.50733,,,,,,,,,,,,,,,,,,,,,,
6,2,3,0.32363,0.333237,0.343133,,,,,,,,,,,,,,,,,,,,,
6,2,6,0.154701,0.159301,0.164037,0.168914,0.173936,0.17911,,,,,,,,,,,,,,,,,,
6,2,9,0.098746,0.101631,0.104601,0.107658,0.110804,0.114042,0.117375,0.120806,0.124337,,,,,,,,,,,,,,,
6,2,12,0.070648,0.072734,0.074882,0.077094,0.079371,0.081715,0.084129,0.086614,0.089173,0.091807,0.09452,0.097312,,,,,,,,,,,,
6,2,24,0.030439,0.031237,0.032057,0.032898,0.033761,0.034648,0.035557,0.036491,0.037449,0.038432,0.039441,0.040476,0.041539,0.042629,0.043748,0.044896,0.046074,0.047285,0.048525,0.0498,0.051107,0.052448,0.053826,0.055236
8,2,6,0.166666,0.166666,0.166666,0.166666,0.166666,0.166668,,,,,,,,,,,,,,,,,,
8,2,12,0.083333,0.083333,0.083333,0.083333,0.083333,0.083333,0.083333,0.083333,0.083333,0.083333,0.083333,0.083335,,,,,,,,,,,,
