dt,type,orign_amount
2017-11,5,9218839000.0
2017-11,6,643506352.0
2017-12,5,7839249000.0
2017-12,6,602771377.0
2018-01,5,8108822824.0
2018-01,6,611362700.0
2018-02,5,5090949650.0
2018-02,6,453855900.0
2018-03,5,9271815030.0
2018-03,6,612328200.0
2018-04,5,8500037300.0
2018-04,6,591815300.0
2018-05,5,8377039428.0
2018-05,6,620192700.0
2018-06,5,9298598710.0
2018-06,6,695169800.0
2018-07,5,8314859786.0
2018-07,6,678154300.0
2018-08,5,8275879098.0
2018-08,6,689439900.0
2018-09,5,8268954021.0
2018-09,6,706740400.0
2018-10,5,8391437746.0
2018-10,6,715603700.0
2018-11,5,9514930570.0
2018-11,6,822043800.0
2018-12,5,8566066100.0
2018-12,6,816334600.0
