dt,type,orign_amount
2017-1-1,5,141341200
2017-1-2,5,143611900
2017-1-3,5,164313300
2017-1-4,5,173456700
2017-1-5,5,176359100
2017-1-6,5,176906300
2017-1-7,5,171773500
2017-1-8,5,170546000
2017-1-9,5,192591400
2017-1-10,5,187351800
2017-1-11,5,153312000
2017-1-12,5,148005300
2017-1-13,5,159815700
2017-1-14,5,151097900
2017-1-15,5,159349900
2017-1-16,5,164685300
2017-1-17,5,163177500
2017-1-18,5,157831200
2017-1-19,5,169243100
2017-1-20,5,169569500
2017-1-21,5,136463100
2017-1-22,5,136630300
2017-1-23,5,138660400
2017-1-24,5,136999700
2017-1-25,5,133536300
2017-1-26,5,133184800
2017-1-27,5,118200900
2017-1-28,5,76602300
2017-1-29,5,73317800
2017-1-30,5,80802700
2017-1-31,5,89738700
2017-2-1,5,113795200
2017-2-2,5,117727000
2017-2-3,5,132079200
2017-2-4,5,153210200
2017-2-5,5,151168400
2017-2-6,5,225934300
2017-2-7,5,208751100
2017-2-8,5,195211800
2017-2-9,5,213519100
2017-2-10,5,204827300
2017-2-11,5,142262900
2017-2-12,5,130309200
2017-2-13,5,140325700
2017-2-14,5,161768400
2017-2-15,5,144134000
2017-2-16,5,118970500
2017-2-17,5,114779800
2017-2-18,5,111308500
2017-2-19,5,114757900
2017-2-20,5,131105400
2017-2-21,5,123044800
2017-2-22,5,119965000
2017-2-23,5,127252300
2017-2-24,5,129606400
2017-2-25,5,126841900
2017-2-26,5,123804600
2017-2-27,5,139086500
2017-2-28,5,152682300
2017-3-1,5,158464300
2017-3-2,5,152210300
2017-3-3,5,143874500
2017-3-4,5,137819600
2017-3-5,5,141525600
2017-3-6,5,154612100
2017-3-7,5,155158200
2017-3-8,5,155619700
2017-3-9,5,150578500
2017-3-10,5,178320700
2017-3-11,5,135073100
2017-3-12,5,131006400
2017-3-13,5,163245300
2017-3-14,5,179735100
2017-3-15,5,142818100
2017-3-16,5,173965400
2017-3-17,5,132439400
2017-3-18,5,123776400
2017-3-19,5,126329200
2017-3-20,5,223786600
2017-3-21,5,217186500
2017-3-22,5,195769500
2017-3-23,5,168529100
2017-3-24,5,179797000
2017-3-25,5,169252500
2017-3-26,5,158515100
2017-3-27,5,141149500
2017-3-28,5,160910900
2017-3-29,5,162080400
2017-3-30,5,210695100
2017-3-31,5,169346100
2017-4-1,5,178837400
2017-4-2,5,158254200
2017-4-3,5,150030700
2017-4-4,5,149740500
2017-4-5,5,171106800
2017-4-6,5,165670600
2017-4-7,5,183870200
2017-4-8,5,168746400
2017-4-9,5,185845400
2017-4-10,5,195637100
2017-4-11,5,180527200
2017-4-12,5,190936100
2017-4-13,5,161178300
2017-4-14,5,153707200
2017-4-15,5,147472400
2017-4-16,5,137679600
2017-4-17,5,139380900
