order_dt,type,fenqi_cycle,fenqi,order_month_diff,capital_rate
2017-11-07,5,1,1,1,1.0
2017-11-07,5,1,3,3,0.35
2017-11-07,5,1,3,2,0.33
2017-11-07,5,1,3,1,0.32
2017-11-07,5,1,6,6,0.168
2017-11-07,5,1,6,5,0.167
2017-11-07,5,1,6,4,0.167
2017-11-07,5,1,6,3,0.166
2017-11-07,5,1,6,2,0.166
2017-11-07,5,1,6,1,0.166
2017-11-07,6,1,1,1,1.0
2017-11-07,6,1,3,1,0.3333333
2017-11-07,6,1,3,2,0.3333333
2017-11-07,6,1,3,3,0.3333333
2017-11-07,6,1,6,1,0.1666667
2017-11-07,6,1,6,2,0.1666667
2017-11-07,6,1,6,3,0.1666667
2017-11-07,6,1,6,4,0.1666667
2017-11-07,6,1,6,5,0.1666667
2017-11-07,6,1,6,6,0.1666667
2017-11-07,6,1,9,1,0.1111111
2017-11-07,6,1,9,2,0.1111111
2017-11-07,6,1,9,3,0.1111111
2017-11-07,6,1,9,4,0.1111111
2017-11-07,6,1,9,5,0.1111111
2017-11-07,6,1,9,6,0.1111111
2017-11-07,6,1,9,7,0.1111111
2017-11-07,6,1,9,8,0.1111111
2017-11-07,6,1,9,9,0.1111111
2017-11-07,6,1,12,1,0.0833333
2017-11-07,6,1,12,2,0.0833333
2017-11-07,6,1,12,3,0.0833333
2017-11-07,6,1,12,4,0.0833333
2017-11-07,6,1,12,5,0.0833333
2017-11-07,6,1,12,6,0.0833333
2017-11-07,6,1,12,7,0.0833333
2017-11-07,6,1,12,8,0.0833333
2017-11-07,6,1,12,9,0.0833333
2017-11-07,6,1,12,10,0.0833333
2017-11-07,6,1,12,11,0.0833333
2017-11-07,6,1,12,12,0.0833333
2017-11-07,6,1,24,1,0.0416667
2017-11-07,6,1,24,2,0.0416667
2017-11-07,6,1,24,3,0.0416667
2017-11-07,6,1,24,4,0.0416667
2017-11-07,6,1,24,5,0.0416667
2017-11-07,6,1,24,6,0.0416667
2017-11-07,6,1,24,7,0.0416667
2017-11-07,6,1,24,8,0.0416667
2017-11-07,6,1,24,9,0.0416667
2017-11-07,6,1,24,10,0.0416667
2017-11-07,6,1,24,11,0.0416667
2017-11-07,6,1,24,12,0.0416667
2017-11-07,6,1,24,13,0.0416667
2017-11-07,6,1,24,14,0.0416667
2017-11-07,6,1,24,15,0.0416667
2017-11-07,6,1,24,16,0.0416667
2017-11-07,6,1,24,17,0.0416667
2017-11-07,6,1,24,18,0.0416667
2017-11-07,6,1,24,19,0.0416667
2017-11-07,6,1,24,20,0.0416667
2017-11-07,6,1,24,21,0.0416667
2017-11-07,6,1,24,22,0.0416667
2017-11-07,6,1,24,23,0.0416667
2017-11-07,6,1,24,24,0.0416667
2017-11-07,8,2,6,6,0.168
2017-11-07,8,2,6,5,0.167
2017-11-07,8,2,6,4,0.167
2017-11-07,8,2,6,3,0.166
2017-11-07,8,2,6,2,0.166
2017-11-07,8,2,6,1,0.166
2017-11-07,8,2,12,12,0.083334
2017-11-07,8,2,12,11,0.083333
2017-11-07,8,2,12,10,0.083333
2017-11-07,8,2,12,9,0.083333
2017-11-07,8,2,12,8,0.083333
2017-11-07,8,2,12,7,0.083333
2017-11-07,8,2,12,6,0.083333
2017-11-07,8,2,12,5,0.083333
2017-11-07,8,2,12,4,0.083333
2017-11-07,8,2,12,3,0.083333
