d1_plus,d31_plus,d61_plus,d91_plus,d121_plus,d151_plus,d181_plus,d1_plus_overdue,d31_plus_overdue,d61_plus_overdue,d91_plus_overdue,d121_plus_overdue,d151_plus_overdue,d181_plus_overdue,predicted_date
475171914.627,323928835.089,229494701.86,172707244.798,137820553.826,115172409.292,95864512.9025,311050844.659,221353956.877,166642128.067,131894720.723,108776613.58,92545913.2988,75737919.9196,2017-10-31
597653450.237,428966018.526,318089952.934,228009891.582,172496196.381,137681887.481,115042834.492,402007715.807,290393713.942,218750520.181,165975392.976,131742630.131,108663396.792,92455116.2926,2017-11-30
686809604.828,536097427.251,413623576.143,314465676.878,227379319.798,172496129.249,137681843.6,485226655.483,370851533.063,283804253.655,217254059.769,165773877.118,131742581.889,108663361.004,2017-12-31
776259153.501,624493316.496,515390070.431,404831787.89,311902878.685,227357937.976,172496129.231,567123897.005,452172600.131,360794823.024,280070525.232,216340935.926,165770750.684,131742581.876,2018-01-31
889863613.169,714538552.968,603395555.124,504640207.646,399967074.797,310032108.673,227357932.763,656150064.666,533773325.884,440986015.197,355584558.982,278070493.593,215928950.747,165770749.919,2018-02-28
963637487.817,803507725.89,688672560.425,589707854.259,497437435.569,396729970.66,309904079.147,724189078.82,612372117.284,519691329.108,433772551.345,352148193.659,276808814.903,215912503.904,2018-03-31
1081538061.77,896661507.13,776413269.066,673738000.613,581196398.446,492680982.259,392236779.217,815542896.747,689382266.888,597411478.892,511361788.559,429110791.857,349683425.728,275854738.44,2018-04-30
1185827187.02,999478629.836,868088444.693,760228136.379,664604251.395,575832138.817,487256452.649,900168080.719,773517468.673,673881757.841,588497415.003,506249809.035,426243845.392,348482614.572,2018-05-31
1306074735.89,1108855853.65,970018243.082,852392060.96,751086788.691,659240701.66,570079620.926,997110909.285,861696507.779,758019171.35,665422134.347,583528480.878,503417951.68,425014244.721,2018-06-30
1419100692.01,1216554026.08,1077110852.16,952706107.29,842743324.06,745466126.709,653644378.506,1092164071.48,952935048.558,845271963.865,748943140.16,660324269.263,580625367.622,502156606.468,2018-07-31
1543147199.69,1333080720.89,1183441626.94,1059230456.74,942466316.168,836875694.941,738779100.888,1196554474.84,1050116570.07,936063924.828,836036829.346,743672957.751,657411144.927,579296562.99,2018-08-31
1685117545.31,1454251846.83,1299494333.79,1165360228.5,1048898666.97,936545334.338,830589716.072,1310816949.63,1153205485.44,1033210511.16,926886543.805,830885023.88,740860711.94,656263561.39,2018-09-30
1807033416.55,1579729909.15,1417156462.47,1279682129.94,1154024221.25,1042270284.11,928915623.791,1418873608.21,1260943496.11,1134698411.1,1023235218.01,921265430.153,827767249.207,739494182.231,2018-10-31
1951032038.45,1710320842.06,1541768349.2,1396813422.01,1268093784.64,1147430605.62,1035174361.88,1539805899,1372779557.82,1242091352.02,1124594372.6,1017604654.87,918202588.884,826470011.581,2018-11-30
2087276987.74,1838849692.58,1669269914.86,1519450461.27,1384154623.82,1260641890.88,1138478245.15,1658852249.84,1487032334.02,1352466374.03,1231014541.5,1118402911.45,1014171891.09,916693749.44,2018-12-31
