d1_plus,d31_plus,d61_plus,d91_plus,d121_plus,d151_plus,d181_plus,d1_plus_overdue,d31_plus_overdue,d61_plus_overdue,d91_plus_overdue,d121_plus_overdue,d151_plus_overdue,d181_plus_overdue,predicted_date
476836375.284,324555593.975,229745284.917,172774173.595,137869931.59,115230506.74,95884711.8645,312045794.153,221661927.595,166764505.54,131947857.136,108815661.022,92576177.7992,75757438.649,2017-10-31
599250707.847,430874983.911,318909211.867,228575780.203,172622940.875,137778114.922,115162922.504,403533890.715,291426746.849,219185807.599,166205760.91,131848589.19,108744400.791,92518685.2382,2017-11-30
689073464.409,538831571.011,416486325.229,315129036.868,228226203.854,172622892.619,137778085.647,487461711.206,372939032.807,285184087.448,217680223.308,166053836.815,131848557.526,108744378.061,2017-12-31
779808877.919,628609823.209,519644844.207,408297393.003,313130280.191,228223389.315,172622892.606,570732998.913,455621383.033,363602535.954,281683611.413,216865497.798,166052716.479,131848557.517,2018-01-31
894292331.05,719746283.137,608886070.331,509559266.492,403071144.699,312500882.757,228223388.625,660750050.766,538443869.009,445066815.115,358564183.2,279661993.755,216603389.637,166052716.203,2018-02-28
968747117.313,809694714.316,695214283.231,595840907.25,501769175.272,399885563.562,312483104.34,729746184.963,618024491.118,524906572.113,437893274.025,354939101.333,278424622.566,216597841.799,2018-03-31
1088066858.96,903946689.373,784371493.802,681366476.128,587111033.745,497453316.714,398555988.944,822446158.64,696352918.101,603998573.087,517012782.296,433436003.675,352903191.393,277868026.085,2018-04-30
1193429303.53,1008304951.45,877317942.19,769475431.45,671987454.381,582306803.361,495883529.711,908394678.335,781963581.17,681895934.851,595637433.653,512176607.551,431108326.127,352208742.54,2018-05-31
1315060685.54,1118835957.2,980831981.423,862769855.158,760064485.833,667185033.669,580659290.889,1006679202.14,871445349.164,767458327.662,673919128.655,590929624.297,509899388.144,430409916.628,2018-06-30
1429497560.74,1228129606.54,1089219362.29,964938252.641,852912550.233,755041220.026,665473829.265,1103229901.66,964183638.297,856169977.64,759013543.883,669174830.009,588598530.198,509164917.499,2018-07-31
1555173281.76,1346180501.67,1197341855.01,1072727110.15,954520606.215,848041191.178,753366725.186,1209169296.73,1062952688.19,948519952.683,847599270.452,754159548.958,666951226.947,587889816.718,2018-08-31
1698537346.07,1468905358.21,1314913479.66,1180799753.78,1062170315.34,949505582.934,846592161.326,1324928162.29,1167571016.9,1047270800.33,940036192.052,842844280.494,751996129.665,666383815.45,2018-09-30
1822010362.13,1596093694.28,1434332315.27,1296675154.72,1169238920.75,1056708872.32,947823048.451,1434626688.32,1276971806.59,1150402362.7,1038063873.2,934905588.793,840500312.394,751320237.325,2018-10-31
1967501727.1,1728174330.46,1560630034.17,1415718034.22,1284802687.62,1163664801.36,1055008467.03,1557142918.5,1390414562.09,1259454132.5,1141070231.53,1032872708.45,932567217.119,839849875.21,2018-11-30
2105864124.31,1858530740.11,1689927096.32,1540242527.07,1402797268.47,1278660960.87,1161820890.31,1678074727.21,1506475112.17,1371619849.09,1249303780.67,1135443244.41,1030325704.17,931856879.826,2018-12-31
