dt,deadline_dt,type,fenqi_cycle,fenqi,order_month_diff,this_diff
2017-09-12,2017-09-18,5,1,1,1,412454.09
2017-09-11,2017-09-17,5,1,1,1,265863.527291
2017-09-10,2017-09-16,5,1,1,1,222247.752846
2017-09-09,2017-09-15,5,1,1,1,157759.274468
2017-08-19,2017-09-18,5,2,1,1,102286.63819
2017-08-02,2017-09-01,5,2,1,1,63000.0
2017-06-18,2017-09-17,5,2,6,3,48672.886016
2017-07-19,2017-09-18,5,2,3,2,47982.211046
2017-08-09,2017-09-08,5,2,1,1,47522.62518
2017-08-01,2017-08-31,5,2,1,1,41700.0
2017-08-17,2017-09-16,5,2,6,1,-39537.739983
2017-08-15,2017-09-14,5,2,6,1,-46740.8326881
2017-08-11,2017-09-10,5,2,1,1,-72374.31
2017-08-10,2017-09-09,5,2,1,1,-80232.594873
2017-04-18,2017-09-17,5,2,6,5,-84283.606726
2017-08-14,2017-09-13,5,2,1,1,-90267.507151
2017-08-16,2017-09-15,5,2,1,1,-120358.06359
2017-08-13,2017-09-12,5,2,1,1,-158217.954725
2017-08-15,2017-09-14,5,2,1,1,-174793.766672
2017-08-17,2017-09-16,5,2,1,1,-274024.55305
